year;month;temp;prec
1958;6;14,6252611168415;70,1295614250752
1958;7;16,9252611168415;51,4548486847822
1958;8;17,0436847207896;85,2569062633305
1958;9;14,4;58,7527738868533
1958;10;8,04368472078963;76,6624188797183
1958;11;3,84368472078963;15,5693634480717
1958;12;1,6;74,5913284903945
1959;1;-0,656315279210369;63,6245399336186
1959;2;-0,512630558420738;6,75250024143754
1959;3;6,13105416236889;34,6644954261861
1959;4;9,08736944157926;52,3805838164944
1959;5;12,5310541623689;66,1068251526087
1959;6;15,9126305584207;73,0577956377075
1959;7;19,5252611168415;60,4991817799041
1959;8;16,7873694415793;76,3734171755289
1959;9;13,5747388831585;6,06302258880342
1959;10;7,6310541623689;67,5498218414297
1959;11;2,4;48,2996557017751
1959;12;1,84368472078963;67,6425871681891
1960;1;-1,05631527921037;39,280867747017
1960;2;0;50,1345984607783
1960;3;4,63105416236889;36,9882833421416
1960;4;8,1;25,9727338052892
1960;5;13,2815763960518;79,913002788697
1960;6;16,8505222336830;40,9577167837259
1960;7;15,6757833505244;69,0029657572346
1960;8;16,0378916752622;123,148242745166
1960;9;11,8563152792104;25,697327231449
1960;10;8,65631527921037;121,505348957455
1960;11;5,38157639605184;57,5437056436067
1960;12;0,381576396051845;53,0794753396424
1961;1;-0,843684720789631;55,1160381247088
1961;2;3,8;48,0390094202696
1961;3;5,81263055842074;33,9497770756879
1961;4;11,2126305584207;76,9293057278984
1961;5;10,4815763960518;105,518669904305
1961;6;15,8505222336830;112,938690146542
1961;7;15,1194680713141;84,454312045419
1961;8;16,1942069544726;63,0978002967695
1961;9;16,8126305584207;39,1331744170501
1961;10;10,1126305584207;26,9403271157871
1961;11;3,16894583763111;30,790707765492
1961;12;-0,712630558420738;91,1335342719349
1962;1;0,85631527921037;53,8500888666524
1962;2;-0,687369441579262;65,4446811416345
1962;3;0,212630558420738;54,5226337446985
1962;4;8,75631527921037;49,4539369816834
1962;5;9,98157639605184;73,8277994439599
1962;6;14,9942069544726;29,0275642008974
1962;7;15,7631527921037;71,3317292325969
1962;8;17,2378916752622;49,7120459647138
1962;9;12,5;67,2108448964094
1962;10;8,48736944157926;5,32044044018798
1962;11;1,82526111684148;29,6098572654795
1962;12;-4,8;63,2034127387563
1963;1;-7,48736944157926;25,1821384725627
1963;2;-6,2;14,8544838404985
1963;3;2,18736944157926;78,7091739730318
1963;4;8,94368472078963;40,4338176535298
1963;5;12,2689458376311;24,3018607569014
1963;6;15,6505222336830;161,204577187808
1963;7;18,2815763960518;79,7238300800769
1963;8;15,8815763960518;88,8025165029878
1963;9;14,0689458376311;45,2280645622325
1963;10;7,41263055842074;40,1310581878498
1963;11;7,15631527921037;78,6018696325808
1963;12;-4,25631527921037;3,53646479046188
1964;1;-4,2;18,9527669214867
1964;2;0,512630558420738;24,6455681658901
1964;3;1,11263055842074;60,4514137411534
1964;4;9,35631527921037;44,0255639309034
1964;5;14,0689458376311;82,5836788699204
1964;6;17,5505222336830;42,845332997865
1964;7;19,3631527921037;6,47681287044817
1964;8;16,3563152792104;60,7330128384762
1964;9;13,8436847207896;43,6368244490109
1964;10;7,2;47,2252246635133
1964;11;4,81263055842074;67,6842749025418
1964;12;-0,4;26,1796496116812
1965;1;0,612630558420738;110,060339382796
1965;2;-3,07473888315852;29,5283933620341
1965;3;2,23105416236889;91,2876245208761
1965;4;6,68736944157926;84,3671763036336
1965;5;11,4126305584207;122,231076757983
1965;6;15,8378916752622;139,548077673817
1965;7;15,4815763960518;120,610108564412
