"year";"month";"temp";"prec"
1938;2;0,3;12
1938;3;5,8;30
1938;4;3,9;52
1938;5;10,8;89
1938;6;16,8;82
1938;7;16,9;65
1938;8;16,9;121
1938;9;13;50
1938;10;8,1;22
1938;11;4,9;24
1938;12;-3,1;36
1939;1;0,2;46
1939;2;-1,5;27
1939;3;0,9;66
1939;4;9,6;16
1939;5;10,3;128
1939;6;16,6;70
1939;7;16,8;114
1939;8;17,6;36
1939;9;12,9;82
1939;10;7,1;142
1939;11;4,9;78
1939;12;-3;51
1940;1;-9,3;16
1940;2;-3,6;38
1940;3;2,6;53
1940;4;8,6;50
1940;5;12,2;148
1940;6;16,3;40
1940;7;16,5;90
1940;8;14,8;99
1940;9;13,1;184
1940;10;8,1;45
1940;11;4,4;65
1940;12;-5,6;40
1941;1;-5,7;70
1941;2;-0,1;42
1941;3;4;54
1941;4;6;71
1941;5;9,3;78
1941;6;15,9;92
1941;7;18,1;194
1941;8;15,8;132
1941;9;11,8;20
1941;10;7,8;102
1941;11;1;17
1941;12;-0,2;37
1942;1;-9,6;49
1942;2;-5,7;36
1942;3;2,7;45
1942;4;7,8;38
1942;5;12,9;84
1942;6;15,6;58
1942;7;16,9;108
1942;8;17;49
1942;9;16,2;26
1942;10;11,2;85
1942;11;1,8;31
1942;12;0,1;18
1943;1;-1,9;25
1943;2;2;19
1943;3;6,2;13
1943;4;8,9;49
1943;5;13,1;63
1943;6;14,6;80
1943;7;17,1;131
1943;8;18,6;19
1943;9;14,4;94
1943;10;9,2;1
1943;11;2,3;43
1943;12;-0,5;29
1944;1;1,8;65
1944;2;-2,7;62
1944;3;-0,4;77
1944;4;8,6;19
1944;5;12,1;54
1944;6;14,7;99
1944;7;17;118
1944;8;19,4;64
1944;9;13;104
1944;10;8,3;62
1944;11;3,3;116
1944;12;-1,5;35
1945;1;-6,2;19
1945;2;3,1;86
1945;3;5,4;57
1945;4;9,1;59
1945;5;14,7;101
1945;6;18;59
1945;7;18,6;66
1945;8;17,1;88
1945;9;13,5;67
1945;10;8,3;43
1945;11;2,3;24
1945;12;-0,4;52
1946;1;-3,8;19
1946;2;2,5;56
1946;3;4,6;18
1946;4;10,2;11
1946;5;14,7;77
1946;6;15,4;109
1946;7;19,1;262
1946;8;17;81
1946;9;14;45
1946;10;6,7;55
1946;11;2,2;26
1946;12;-3,1;30
1947;1;-5,9;53
1947;2;-5;53
1947;3;3,8;55
1947;4;10,3;15
1947;5;15,3;62
1947;6;17,8;94
1947;7;18,9;91
1947;8;19,4;26
1947;9;15,8;24
1947;10;7;16
1947;11;5,3;135
1947;12;0,3;68
1948;1;2,5;70
1948;2;1;66
1948;3;5,5;50
1948;4;9,9;16
1948;5;15,3;58
1948;6;15,3;139
1948;7;16,3;110
1948;8;16,7;135
1948;9;13,4;26
1948;10;9;43
1948;11;3,3;26
1948;12;-1,3;21
1949;1;-0,7;17
1949;2;-0,2;10
1949;3;2,4;22
1949;4;10,7;31
1949;5;12,6;157
1949;6;14,3;49
1949;7;18,1;24
1949;8;17,1;60
1949;9;15,9;40
1949;10;9,9;20
1949;11;3;39
1949;12;2;76
1950;1;-1,4;55
1950;2;2,2;26
1950;3;5;12
1950;4;7,5;59
1950;5;15,1;32
1950;6;18,5;28
1950;7;19,6;130
1950;8;17,5;114
1950;9;12,7;92
1950;10;7,2;33
1950;11;3,8;110
1950;12;-2,8;23
1951;1;-0,6;83
1951;2;1,4;39
1951;3;2,7;49
1951;4;7,6;11
1951;5;12,4;66
1951;6;15,5;176
1951;7;17,4;105
1951;8;17,3;60
1951;9;14,4;43
1951;10;7,5;3
1951;11;5,5;47
1951;12;-0,1;34
1952;1;-1,4;35
1952;2;-1,3;39
1952;3;3,2;97
1952;4;10;33
1952;5;12,5;50
1952;6;16;66
1952;7;19,6;21
1952;8;18,3;79
1952;9;10,5;112
1952;10;7;77
1952;11;1,1;91
1952;12;-1,5;64
1953;1;-2,4;11
1953;2;-1,4;33
1953;3;3,9;3
1953;4;9,4;51
1953;5;12,9;73
1953;6;15,5;113
1953;7;17,9;115
1953;8;15,8;56
1953;9;14,1;14
1953;10;9,7;17
1953;11;1,7;10
1953;12;0;22
1954;1;-4,3;52
1954;2;-3,7;25
1954;3;5;35
1954;4;5,8;55
1954;5;11,2;63
1954;6;15,9;68
1954;7;14,7;234
1954;8;15,6;68
1954;9;13,6;126
1954;10;8,6;46
1954;11;2,7;15
1954;12;2;72
1955;1;-2,6;85
1955;2;-1,7;61
1955;3;0,5;15
1955;4;6,6;50
1955;5;10,7;81
1955;6;15;82
1955;7;17;157
1955;8;16,1;28
1955;9;12,6;79
1955;10;7,4;35
1955;11;2,1;12
1955;12;2,1;74
1956;1;0;50
1956;2;-11,1;16
1956;3;2,8;52
1956;4;6,4;46
1956;5;12,1;56
1956;6;13,2;121
1956;7;16,8;110
1956;8;15;120
1956;9;13,8;45
1956;10;7,1;110
1956;11;1,6;39
1956;12;-0,4;21
1957;1;-2,9;32
1957;2;3,6;87
1957;3;6,7;49
1957;4;7,7;45
1957;5;9,5;69
1957;6;17,2;128
1957;7;17,3;171
1957;8;15,2;101
1957;9;12,2;99
1957;10;7,8;15
1957;11;3,6;24
1957;12;-0,3;22
1958;1;-2,2;71
1958;2;0,9;137
1958;3;-0,8;37
1958;4;5,9;57
1958;5;14,9;48
1958;6;15,3;121
1958;7;17,2;123
1958;8;17,7;60
1958;9;14,4;53
1958;10;7,9;76
1958;11;3,8;27
1958;12;1;79
1959;1;-1,8;49
1959;2;-1,9;10
1959;3;6;32
1959;4;8,9;71
1959;5;12,7;79
1959;6;15,8;90
1959;7;18,7;108
1959;8;16,4;64
1959;9;12,8;5
1959;10;6,9;40
1959;11;1,8;26
1959;12;1,7;45
1960;1;-2,3;51
1960;2;-1,2;53
1960;3;4,5;40
1960;4;7,4;26
1960;5;13,1;62
1960;6;16,4;124
1960;7;15,3;104
1960;8;15,9;98
1960;9;11,8;31
1960;10;8,5;98
1960;11;5;32
1960;12;-0,3;52
1961;1;-2,7;33
1961;2;3,2;41
1961;3;5,3;36
1961;4;10,9;48
1961;5;10,3;121
1961;6;15,9;113
1961;7;15,5;68
1961;8;15,8;95
1961;9;15,8;40
1961;10;9,2;27
1961;11;2,5;37
1961;12;-2;98
1962;1;-0,9;70
1962;2;-0,7;41
1962;3;-0,2;54
1962;4;8,4;29
1962;5;10;125
1962;6;14,2;60
1962;7;15,9;93
